docid,word_count,pos_count,neg_count,ISBN,Copyright,Committee member,University location,Source,Department,Degree date,Title,Document type,Degree,Dissertation/thesis number,Author,Advisor,Country of publication,Number of pages,Language,Database,School code,Publication year,Identifier / keyword,Document URL,Place of publication,Classification,University/institution,Source type,Subject
1225544915,0,0,0,9781267752437,Copyright ProQuest UMI Dissertations Publishing 2012,Moore Jason H.;Compton Duane A.;Tabb David L.,United States -- New Hampshire,DAI-B 74/03(E) Sep 2013,Genetics,2012,Novel methods for improved identification throughput and high-resolution scoring for proteomics,Dissertation/Thesis,Ph.D.,3544492,Faherty Brendan Keeley,Gerber Scott A.;Gerber Scott A.,United States,192,English,ProQuest Dissertations & Theses Full Text,0059,2012,Pure sciences;Biological sciences;Gpu;High-throughput;Mass spectrometry;Peptide spectral matching;Phosphorylation;Proteomics;Pure sciences;Biological sciences;Gpu;High-throughput;Mass spectrometry;Peptide spectral matching;Phosphorylation;Proteomics,http://search.proquest.com/docview/1225544915?accountid=13314,Ann Arbor,0369: Genetics;0487: Biochemistry,Dartmouth College,Dissertations & Theses,Genetics;Biochemistry
1493047210,894,40,9,9781303712579,Copyright ProQuest UMI Dissertations Publishing 2013,,United States -- Connecticut,DAI-B 75/05(E) Nov 2014,,2013,Strongly correlated quantum transport out-of-equilibrium,Dissertation/Thesis,Ph.D.,3578335,Dutt Prasenjit,Shankar Ramamurti;Shankar Ramamurti,United States,210,English,ProQuest Dissertations & Theses Full Text,0265,2013,Pure sciences;Strongly correlated electrons;Mesoscopic physics;Nanodevices;Nanotechnology;Quantum transport;Kondo physics;Pure sciences;Strongly correlated electrons;Mesoscopic physics;Nanodevices;Nanotechnology;Quantum transport;Kondo physics,http://search.proquest.com/docview/1493047210?accountid=13314,Ann Arbor,0611: Condensed matter physics;0753: Theoretical physics,Yale University,Dissertations & Theses,Condensed matter physics;Theoretical physics
1465384652,0,0,0,9781303506628,Copyright ProQuest UMI Dissertations Publishing 2013,,United States -- New York,DAI-B 75/02(E) Aug 2014,Physics,2013,Observational Properties of Gigaelectronvolt-Teraelectronvolt Blazars and the Study of the Teraelectronvolt Blazar RBS 0413 with VERITAS,Dissertation/Thesis,Ph.D.,3600535,Senturk Gunes Demet,Humensky Thomas B.;Humensky Thomas B.,United States,148,English,ProQuest Dissertations & Theses Full Text,0054,2013,Pure sciences;Blazars;Active galactic nuclei;Spectral energy distribution;Gamma rays;Pure sciences;Blazars;Active galactic nuclei;Spectral energy distribution;Gamma rays,http://search.proquest.com/docview/1465384652?accountid=13314,Ann Arbor,0596: Astrophysics;0606: Astronomy,Columbia University,Dissertations & Theses,Astrophysics;Astronomy
763161111,619,59,6,9781124301495,Copyright ProQuest UMI Dissertations Publishing 2010,,United States -- Rhode Island,DAI-B 71/11 May 2011,,2010,Identification and characterization of T cell factor-4 (TCF4) isoforms of Wnt signaling in hepatocellular carcinoma (HCC),Dissertation/Thesis,Ph.D.,3430216,Tsedensodnom Orkhontuya,Wands Jack R.;Kim Miran;Wands Jack R.;Kim Miran,United States,221,English,ProQuest Dissertations & Theses Full Text,0024,2010,Biological sciences;Wnt signaling;Hepatocellular carcinoma;Catenin;Biological sciences;Wnt signaling;Hepatocellular carcinoma;Catenin,http://search.proquest.com/docview/763161111?accountid=13314,Ann Arbor,0307: Molecular biology;0369: Genetics;0379: Cellular biology,Brown University,Dissertations & Theses,Molecular biology;Genetics;Cellular biology
1443536173,489,14,1,9781303396892,Copyright ProQuest UMI Dissertations Publishing 2013,Lesser Zachary;Traister Daniel H.;Wolfe Heather R.;Saint-Amour Paul,United States -- Pennsylvania,DAI-A 75/01(E) Jul 2014,English,2013,Penmanship in print: English copy-books and their makers 1570-1763,Dissertation/Thesis,Ph.D.,3594866,Thadani Simran,Stallybrass Peter B.;Stallybrass Peter B.,United States,500,English,ProQuest Dissertations & Theses Full Text,0175,2013,Language literature and linguistics;Social sciences;Communication and the arts;Education;Authorship;Book history;Copy-books;Engraving;Handwriting;Writing-masters;Language literature and linguistics;Social sciences;Communication and the arts;Education;Authorship;Book history;Copy-books;Engraving;Handwriting;Writing-masters,http://search.proquest.com/docview/1443536173?accountid=13314,Ann Arbor,0326: Cultural anthropology;0377: Art history;0520: Education history;0593: British and Irish literature,University of Pennsylvania,Dissertations & Theses,Cultural anthropology;Art history;Education history;British and Irish literature
1419996680,0,0,0,9781303173059,Copyright ProQuest UMI Dissertations Publishing 2013,Yodh Arjun;Nelson Philip;Gladney Larry;Johnson A. T. Charlie,United States -- Pennsylvania,DAI-B 74/10(E) Apr 2014,Physics and Astronomy,2013,Investigating the spatial resolution characteristics of a monolithic scintillation detector for pet,Dissertation/Thesis,Ph.D.,3566309,Kaul Madhuri,Karp Joel S.;Karp Joel S.,United States,187,English,ProQuest Dissertations & Theses Full Text,0175,2013,Pure sciences;Biological sciences;Health and environmental sciences;Monolithic scintillation;Spatial resolution;Positron decay;Positron emission tomography;Pure sciences;Biological sciences;Health and environmental sciences;Monolithic scintillation;Spatial resolution;Positron decay;Positron emission tomography,http://search.proquest.com/docview/1419996680?accountid=13314,Ann Arbor,0574: Medical imaging;0605: Physics;0786: Biophysics,University of Pennsylvania,Dissertations & Theses,Medical imaging;Physics;Biophysics
763492484,0,0,0,9781124305530,Copyright ProQuest UMI Dissertations Publishing 2010,,United States -- Rhode Island,DAI-A 71/12 Jun 2011,,2010,Teleology and Intentionality: A Challenge to the Deflationary View,Dissertation/Thesis,Ph.D.,3430060,Jarvis Benjamin W.,Heck Richard Jr.;Heck Richard Jr.,United States,173,English,ProQuest Dissertations & Theses Full Text,0024,2010,Philosophy religion and theology;Teleology;Intentionality;Deflationary;Deflationary theories of truth;Philosophy religion and theology;Teleology;Intentionality;Deflationary;Deflationary theories of truth,http://search.proquest.com/docview/763492484?accountid=13314,Ann Arbor,0422: Philosophy,Brown University,Dissertations & Theses,Philosophy
921466539,342,23,1,9781267157157,Copyright ProQuest UMI Dissertations Publishing 2011,Sutton Craig;Winkler Pete;Kuchment Peter,United States -- New Hampshire,DAI-B 73/05 Nov 2012,Mathematics,2011,Quantum graphs and their spectra,Dissertation/Thesis,Ph.D.,3494278,Rueckriemen Ralf,Gordon Carolyn S.;Gordon Carolyn S.,United States,86,English,ProQuest Dissertations & Theses Full Text,0059,2011,Applied sciences;Pure sciences;Inverse spectra;Laplace operator on quantum graphs;Quantum graphs;Spectral geometry;Applied sciences;Pure sciences;Inverse spectra;Laplace operator on quantum graphs;Quantum graphs;Spectral geometry,http://search.proquest.com/docview/921466539?accountid=13314,Ann Arbor,0364: Applied Mathematics;0405: Mathematics,Dartmouth College,Dissertations & Theses,Applied Mathematics;Mathematics
1420029187,0,0,0,9781303176531,Copyright ProQuest UMI Dissertations Publishing 2013,,United States -- Pennsylvania,DAI-B 74/10(E) Apr 2014,Immunology,2013,The role of Ndfip1 in T cell tolerance,Dissertation/Thesis,Ph.D.,3566468,Ramos-Hernandez Natalia M.,Oliver Paula M.;Oliver Paula M.,United States,117,English,ProQuest Dissertations & Theses Full Text,0175,2013,Biological sciences;Health and environmental sciences;T cells;Ndfip1;Tolerance;Biological sciences;Health and environmental sciences;T cells;Ndfip1;Tolerance,http://search.proquest.com/docview/1420029187?accountid=13314,Ann Arbor,0379: Cellular biology;0982: Immunology,University of Pennsylvania,Dissertations & Theses,Cellular biology;Immunology
763168860,1093,53,8,9781124301525,Copyright ProQuest UMI Dissertations Publishing 2010,,United States -- Rhode Island,DAI-B 71/11 May 2011,,2010,Motor cortical control of naturalistic reaching and grasping actions,Dissertation/Thesis,Ph.D.,3430219,Vargas Irwin Carlos E.,Donoghue John;Donoghue John,United States,181,English,ProQuest Dissertations & Theses Full Text,0024,2010,Biological sciences;Reaching;Grasping;Primary motor cortex;Motion capture;Biological sciences;Reaching;Grasping;Primary motor cortex;Motion capture,http://search.proquest.com/docview/763168860?accountid=13314,Ann Arbor,0317: Neurosciences,Brown University,Dissertations & Theses,Neurosciences
763135652,1559,110,8,9781124302867,Copyright ProQuest UMI Dissertations Publishing 2010,,United States -- Rhode Island,DAI-B 71/11 May 2011,,2010,Early Mars environments revealed through near-infrared spectroscopy of alteration minerals,Dissertation/Thesis,Ph.D.,3430181,Ehlmann Bethany List,Mustard John F.;Mustard John F.,United States,326,English,ProQuest Dissertations & Theses Full Text,0024,2010,Earth sciences;Mars;Alteration minerals;Hydrothermal alteration;Phyllosilicates;Earth sciences;Mars;Alteration minerals;Hydrothermal alteration;Phyllosilicates,http://search.proquest.com/docview/763135652?accountid=13314,Ann Arbor,0590: Planetology;0799: Remote sensing,Brown University,Dissertations & Theses,Planetology;Remote sensing
1225607957,265,34,1,9781267752444,Copyright ProQuest UMI Dissertations Publishing 2012,Hartov Alexander;Ji Songbai;Roberts David W.;Simon David,United States -- New Hampshire,DAI-B 74/03(E) Sep 2013,Engineering,2012,Later Stage Brain Deformation Compensation In Image-Guided Neurosurgery,Dissertation/Thesis,Ph.D.,3544493,Fan Xiaoyao,Paulsen Keith D.;Paulsen Keith D.,United States,186,English,ProQuest Dissertations & Theses Full Text,0059,2012,Biological sciences;Applied sciences;Health and environmental sciences;Brain deformation;Computational modeling;Image-guided neurosurgery;Resection;Retraction;Biological sciences;Applied sciences;Health and environmental sciences;Brain deformation;Computational modeling;Image-guided neurosurgery;Resection;Retraction,http://search.proquest.com/docview/1225607957?accountid=13314,Ann Arbor,0317: Neurosciences;0541: Biomedical engineering;0574: Medical imaging,Dartmouth College,Dissertations & Theses,Neurosciences;Biomedical engineering;Medical imaging
894213168,419,33,6,9781124925554,Copyright ProQuest UMI Dissertations Publishing 2011,,United States -- Rhode Island,DAI-A 72/12 Jun 2012,,2011,Contesting the Russian Borderlands: The German Military Administration of Occupied Lithuania 1915--1918,Dissertation/Thesis,Ph.D.,3479701,Barthel Christopher Alan,Bartov Omer;Bartov Omer,United States,345,English,ProQuest Dissertations & Theses Full Text,0024,2011,Social sciences;World War I;Eastern Front;Lithuania;Germany;Imperialism;Occupation;Military administration;Social sciences;World War I;Eastern Front;Lithuania;Germany;Imperialism;Occupation;Military administration,http://search.proquest.com/docview/894213168?accountid=13314,Ann Arbor,0335: European history;0582: Modern history,Brown University,Dissertations & Theses,European history;Modern history
1499247835,507,31,6,9781303717192,Copyright ProQuest UMI Dissertations Publishing 2013,,United States -- Connecticut,DAI-B 75/05(E) Nov 2014,,2013,Dictionary Learning: Algorithms and Analysis,Dissertation/Thesis,Ph.D.,3578468,Wang Huan,Spielman Daniel A.;Spielman Daniel A.,United States,180,English,ProQuest Dissertations & Theses Full Text,0265,2013,Applied sciences;Dictionary learning;Sparse coding;Topic modeling;Matrix factorization;Exact recovery;Basis learning;Applied sciences;Dictionary learning;Sparse coding;Topic modeling;Matrix factorization;Exact recovery;Basis learning,http://search.proquest.com/docview/1499247835?accountid=13314,Ann Arbor,0984: Computer science,Yale University,Dissertations & Theses,Computer science
