docid,word_count,pos_count,neg_count,ISBN,Copyright,Committee member,University location,Source,Department,Degree date,Title,Document type,Degree,Dissertation/thesis number,Author,Advisor,Country of publication,Number of pages,Language,Database,School code,Publication year,Identifier / keyword,Document URL,Place of publication,Classification,University/institution,Source type,Subject
1507847157,166,14,1,9781303743368,Copyright ProQuest UMI Dissertations Publishing 2014,Hepburn Valerie A.;Weller Wendy,United States -- New York,DAI-B 75/06(E) Dec 2014,Health Policy Management and Behavior,2014,A study to detect the presence of racial/ethnic pay disparities among registered nurses (rns) in U.S. hospitals,Dissertation/Thesis,Dr.P.H.,3612605,Moore Jean,Dewar Diane M.;Dewar Diane M.,United States,128,English,ProQuest Dissertations & Theses Full Text,0668,2014,Social sciences;Health and environmental sciences;Nursing workforce diversity;Racial/ethnic rn pay disparities;Regression decomposition;Registered nurses;Social sciences;Health and environmental sciences;Nursing workforce diversity;Racial/ethnic rn pay disparities;Regression decomposition;Registered nurses,http://search.proquest.com/docview/1507847157?accountid=13314,Ann Arbor,0569: Nursing;0573: Public health;0631: Ethnic studies;0769: Health care management,State University of New York at Albany,Dissertations & Theses,Nursing;Public health;Ethnic studies;Health care management
1498135784,470,26,3,9781303682490,Copyright ProQuest UMI Dissertations Publishing 2013,Kim Jeong-Hee;Griffin David Sr. L.;Carroll Doris W.,United States -- Kansas,DAI-A 75/05(E) Nov 2014,Curriculum and Instruction,2013,Islamophobia & muslims' religious experiences in the midwest---proposing critical muslim theory a muslim autoethnography,Dissertation/Thesis,Ph.D.,3609408,Abdullah Mohamad Ridhuan,Taylor Kay A.;Taylor Kay A.,United States,319,English,ProQuest Dissertations & Theses Full Text,0100,2013,Philosophy religion and theology;Social sciences;Education;Autoethnography;Critical muslim theory;Critical race theory;Islamophobia;Midwest united states;Propose new theory;Philosophy religion and theology;Social sciences;Education;Autoethnography;Critical muslim theory;Critical race theory;Islamophobia;Midwest united states;Propose new theory,http://search.proquest.com/docview/1498135784?accountid=13314,Ann Arbor,0318: Religion;0455: Multicultural Education;0512: Islamic Studies,Kansas State University,Dissertations & Theses,Religion;Multicultural Education;Islamic Studies
1518736476,0,0,0,9780499283283,Copyright ProQuest UMI Dissertations Publishing 2014,,Canada,DAI-B 75/07(E) Jan 2015,Psychology,2014,Le developpement des fonctions executives a l'age prescolaire : Le role des comportements maternels en presence de differents facteurs de vulnerabilite,Dissertation/Thesis,Ph.D.,NS28328,Rochette Emilie,Bernier Annie;Bernier Annie,United States,160,French,ProQuest Dissertations & Theses Full Text,0992,2014,Social sciences;Psychology;Executive functions;Maternal sensitivity;Socioeconomic status;Temperament;Preschool period;Differential susceptibility;Moderation and vulnerability;Social sciences;Psychology;Executive functions;Maternal sensitivity;Socioeconomic status;Temperament;Preschool period;Differential susceptibility;Moderation and vulnerability,http://search.proquest.com/docview/1518736476?accountid=13314,Ann Arbor,0620: Developmental psychology;0628: Individual & family studies,Universite de Montreal (Canada),Dissertations & Theses,Developmental psychology;Individual & family studies
1513569527,62,9,0,9781303791284,Copyright ProQuest UMI Dissertations Publishing 2014,Burgess Stephen;Walker Charles,United States -- Minnesota,DAI-B 75/07(E) Jan 2015,Harold Abel School of Social and Behavioral Sciences,2014,A phenomenological investigation of counselors' experiences of working with traumatic-brain-injured individuals on community reintegration,Dissertation/Thesis,Ph.D.,3614148,Browning Tasha,Brooke Stephanie;Brooke Stephanie,United States,111,English,ProQuest Dissertations & Theses Full Text,1351,2014,Psychology;Brain injury;Community reintegration;Counseling;Counselor experiences;Phenomenological study;Vicarious trauma;Psychology;Brain injury;Community reintegration;Counseling;Counselor experiences;Phenomenological study;Vicarious trauma,http://search.proquest.com/docview/1513569527?accountid=13314,Ann Arbor,0384: Behavioral psychology;0603: Counseling Psychology,Capella University,Dissertations & Theses,Behavioral psychology;Counseling Psychology
1496774160,266,30,2,9781303671975,Copyright ProQuest UMI Dissertations Publishing 2014,Langtiw Cynthia,United States -- Illinois,DAI-B 75/05(E) Nov 2014,Clinical Psychology: Child and Adolescent Track,2014,Ostracism through the Lens of Internal Working Models: A Discussion of Attachment Patterns and Romantic Relationships,Dissertation/Thesis,Psy.D.,3608783,Rosenblum Yonatan,Sanders Paul;Sanders Paul,United States,110,English,ProQuest Dissertations & Theses Full Text,0971,2014,Psychology;Attachment;Bullying;Ostracism;Romantic relationships;Psychology;Attachment;Bullying;Ostracism;Romantic relationships,http://search.proquest.com/docview/1496774160?accountid=13314,Ann Arbor,0451: Social psychology;0620: Developmental psychology,The Chicago School of Professional Psychology,Dissertations & Theses,Social psychology;Developmental psychology
1511447234,0,0,0,9781303754852,Copyright ProQuest UMI Dissertations Publishing 2014,DeMayo Robert;O'Keefe Carolyn,United States -- California,DAI-B 75/07(E) Jan 2015,Psychology,2014,Experiences with formal and informal support: A case study of a female-to-male transgender individual,Dissertation/Thesis,Psy.D.,3613228,Magallanes Jessica,Harrell Shelly;Harrell Shelly,United States,144,English,ProQuest Dissertations & Theses Full Text,6009,2014,Social sciences;Psychology;Female-to-male;Gender;Psychotherapy;Support;Transgendered people;Social sciences;Psychology;Female-to-male;Gender;Psychotherapy;Support;Transgendered people,http://search.proquest.com/docview/1511447234?accountid=13314,Ann Arbor,0492: GLBT Studies;0621: Psychology,Pepperdine University,Dissertations & Theses,GLBT Studies;Psychology
1516593928,221,21,1,9780499262325,Copyright ProQuest UMI Dissertations Publishing 2014,,Canada,MAI 52/05(E) Oct 2014,Landscape Architecture,2014,The Crazy Horse Memorial: A study of a sacred and contested landscape,Dissertation/Thesis,M.Land.Arch.,MS26232,LaRocque Taylor Danielle,,United States,327,English,ProQuest Dissertations & Theses Full Text,0303,2014,Social sciences;Communication and the arts;Landscape architecture;Sacred;Native Americans;Contested;Lakota;Social sciences;Communication and the arts;Landscape architecture;Sacred;Native Americans;Contested;Lakota,http://search.proquest.com/docview/1516593928?accountid=13314,Ann Arbor,0390: Landscape architecture;0740: Native American studies,University of Manitoba (Canada),Dissertations & Theses,Landscape architecture;Native American studies
1502869558,90,7,0,9781303723773,Copyright ProQuest UMI Dissertations Publishing 2014,Land Denise,United States -- Minnesota,DAI-A 75/05(E) Nov 2014,Applied Management and Decision Sciences,2014,Organizational ambidexterity at a department level,Dissertation/Thesis,D.B.A.,3611500,Reynolds Harold,Gonzalez Matthew;Carlstrom Charlotte;Gonzalez Matthew;Carlstrom Charlotte,United States,155,English,ProQuest Dissertations & Theses Full Text,0543,2014,Social sciences;Ambidexterity;Exploitation;Exploration;Innovation;Learning;Organizational;Social sciences;Ambidexterity;Exploitation;Exploration;Innovation;Learning;Organizational,http://search.proquest.com/docview/1502869558?accountid=13314,Ann Arbor,0454: Management,Walden University,Dissertations & Theses,Management
1496780291,267,22,0,9780494956939,Copyright ProQuest UMI Dissertations Publishing 2014,Barron Ronald;Rankin Gary,Canada,MAI 52/04(E) Aug 2014,MECHANICAL ENGINEERING,2014,Virtual methodology for predicting whistling noise over the front grill of a vehicle,Dissertation/Thesis,M.A.Sc.,MR95693,Bevan Tyler,Carriveau Rupp;Ting David;Carriveau Rupp;Ting David,United States,139,English,ProQuest Dissertations & Theses Full Text,0115,2014,Applied sciences;Aeroacoustics;Computational fluid dynamics;Noise prediction;Open Source Field Operation and Manipulation;Wind noise;Applied sciences;Aeroacoustics;Computational fluid dynamics;Noise prediction;Open Source Field Operation and Manipulation;Wind noise,http://search.proquest.com/docview/1496780291?accountid=13314,Ann Arbor,0540: Automotive engineering;0548: Mechanical engineering,University of Windsor (Canada),Dissertations & Theses,Automotive engineering;Mechanical engineering
1512623618,79,10,2,9781303775437,Copyright ProQuest UMI Dissertations Publishing 2014,Shen Jeff;Sarnoff David,United States -- Minnesota,DAI-B 75/07(E) Jan 2015,Harold Abel School of Social and Behavioral Sciences,2014,What is the lived experience of singing: A phenomenological study,Dissertation/Thesis,Psy.D.,3613833,von Bannisseht Frank L.,Kavar Louis F.;Kavar Louis F.,United States,128,English,ProQuest Dissertations & Theses Full Text,1351,2014,Psychology;Singing;Adults;Amedeo Giorgi;Everyday life;Psychology;Singing;Adults;Amedeo Giorgi;Everyday life,http://search.proquest.com/docview/1512623618?accountid=13314,Ann Arbor,0384: Behavioral psychology;0621: Psychology,Capella University,Dissertations & Theses,Behavioral psychology;Psychology
